cellType 	 date 	 dataNum 	 objNum 	volume 	 area 	 totalGAPDH 	 cytoGAPDH 	 nucGAPDH 	nucArea 	 dapiIntensityTotal 	 dapiIntensityAvg 	clickIntensityTotal 	 clickIntensityAvg 	numCyclin 
ClickiT	130219	2	1	3366.537374	3631.156250	3623	3371	252	261.359375	17585103.000000	1051.300472	308387594.000000	18436.515454	10
ClickiT	130219	3	1	3257.265706	3222.640625	3591	3411	180	308.468750	18299735.000000	926.944332	270104363.000000	13681.712238	4
ClickiT	130219	4	1	2679.714450	2889.078125	2180	2062	118	278.984375	16322067.000000	914.145449	145138728.000000	8128.744217	3
ClickiT	130219	5	1	1955.299230	2598.906250	1726	1602	124	194.203125	16315939.000000	1312.731435	190601050.000000	15335.187867	3
ClickiT	130219	6	1	3539.231297	4453.500000	3634	3396	238	275.468750	31316484.000000	1776.317867	255455618.000000	14489.825184	286
ClickiT	130219	7	1	4439.565428	4974.250000	4088	3900	188	274.140625	17660278.000000	1006.570419	252404116.000000	14386.099516	26
ClickiT	130219	8	1	2188.093963	2542.578125	2623	2464	159	266.500000	28100420.000000	1647.538696	444478529.000000	26059.951278	208
ClickiT	130219	9	1	1274.986684	1704.500000	1497	1394	103	214.468750	13283977.000000	967.796663	121285224.000000	8836.166691	11
ClickiT	130219	10	1	4431.971176	5435.531250	4242	4012	230	262.437500	13847295.000000	824.440045	320608795.000000	19088.401703	6
ClickiT	130219	11	1	3636.729638	2787.234375	4994	4560	434	413.406250	53311161.000000	2014.935407	543985046.000000	20560.323758	691
ClickiT	130219	12	1	1726.650723	2314.000000	1891	1725	166	211.281250	21038666.000000	1555.884189	198531335.000000	14682.098432	125
ClickiT	130219	13	1	2507.846000	2630.328125	2902	2610	292	287.609375	29525990.000000	1604.063128	250198335.000000	13592.564514	302
ClickiT	130219	15	1	2131.494525	1568.203125	2528	2391	137	162.187500	13718279.000000	1321.606840	139310267.000000	13421.027649	12
ClickiT	130219	16	1	3501.962222	3512.406250	2859	2660	199	206.187500	14003332.000000	1061.180055	360278353.000000	27302.087981	4
ClickiT	130219	17	1	1348.349343	1790.078125	1706	1587	119	184.781250	14621826.000000	1236.413496	23115265.000000	1954.613986	5
ClickiT	130219	18	1	3990.798219	3457.375000	2838	2692	146	230.562500	14354863.000000	972.815329	119408034.000000	8092.168203	2
ClickiT	130219	19	1	2078.096827	2982.375000	2325	2188	137	275.125000	23447975.000000	1331.666004	261305834.000000	14840.176851	201
ClickiT	130219	20	1	6819.285204	5789.484375	5297	4951	346	345.843750	17153348.000000	774.977320	253764955.000000	11464.938782	6
ClickiT	130219	21	1	8451.814275	3970.968750	3597	3381	216	273.375000	14683798.000000	839.266004	199533591.000000	11404.526235	135
ClickiT	130219	22	1	2301.492681	2441.703125	1761	1625	136	225.609375	12266236.000000	849.521158	103532681.000000	7170.349816	6
ClickiT	130219	23	1	1873.319438	2168.875000	1886	1795	91	225.203125	12372057.000000	858.395684	76062523.000000	5277.355374	5
ClickiT	130219	24	1	3943.797783	2021.312500	2789	2633	156	205.265625	11519300.000000	876.859252	149331255.000000	11367.226536	10
ClickiT	130219	25	1	2928.091322	2383.328125	2746	2625	121	237.343750	12788159.000000	841.880118	310780661.000000	20459.556353	112
ClickiT	130219	26	1	2219.430190	1869.421875	2109	1943	166	199.562500	11628383.000000	910.459051	137509487.000000	10766.480348	11
ClickiT	130219	27	1	1594.228596	1659.203125	1523	1454	69	137.750000	10558334.000000	1197.633167	69178949.000000	7846.976974	2
ClickiT	130219	28	1	2036.772935	2263.781250	1883	1668	215	216.453125	14633828.000000	1056.365264	120881993.000000	8726.051613	133
ClickiT	130219	29	1	2986.962700	3188.765625	2421	2308	113	229.390625	13940190.000000	949.539541	145053970.000000	9880.387576	3
ClickiT	130219	30	1	5797.257621	3415.312500	3536	3379	157	242.718750	13736620.000000	884.293807	110855485.000000	7136.312926	1
ClickiT	130219	32	1	3408.290648	2303.203125	2674	2446	228	255.875000	21284369.000000	1299.729421	251597482.000000	15363.793478	75
ClickiT	130219	33	1	3795.886616	4028.703125	3118	2984	134	263.812500	16062715.000000	951.357202	145854642.000000	8638.630775	6
ClickiT	130219	34	1	1198.404744	1728.250000	1432	1332	100	192.812500	12931551.000000	1047.937682	150087740.000000	12162.701783	7
ClickiT	130219	35	1	1754.840120	2248.906250	1793	1675	118	270.406250	16602668.000000	959.359066	203137171.000000	11737.962036	111
ClickiT	130418	1	1	1702.189337	2033.718750	1967	1789	178	219.671875	207285127.000000	14743.945302	203992480.000000	14509.743225	99
ClickiT	130418	2	1	1786.720261	2778.062500	2781	2634	147	234.218750	144655266.000000	9650.117812	162746356.000000	10856.995063	79
ClickiT	130418	3	1	1510.267927	1825.812500	2583	2356	227	286.046875	291980601.000000	15949.123341	266421344.000000	14552.976676	347
ClickiT	130418	4	1	2082.061553	3114.671875	2530	2336	194	302.921875	177642422.000000	9162.966008	296949671.000000	15316.948006	141
ClickiT	130418	5	1	2036.897620	3608.843750	2620	2392	228	305.875000	222328776.000000	11357.211688	293805588.000000	15008.458725	113
ClickiT	130418	6	1	1217.621315	1936.359375	1779	1638	141	232.562500	168983195.000000	11353.345539	180939064.000000	12156.615426	88
ClickiT	130418	6	2	1722.949731	2713.062500	1925	1834	91	213.234375	144431827.000000	10583.412252	141852324.000000	10394.396131	8
ClickiT	130418	7	1	1694.924781	2915.890625	1905	1823	82	228.671875	149315856.000000	10202.655005	140627876.000000	9609.011001	51
ClickiT	130418	8	1	1807.974575	3886.906250	2450	2260	190	256.625000	155428698.000000	9463.510594	136433360.000000	8306.950804	11
ClickiT	130418	9	1	1641.881962	3632.531250	2424	2307	117	217.875000	130080983.000000	9328.814042	145837413.000000	10458.793244	2
ClickiT	130418	10	1	2233.554363	2946.765625	3468	3264	204	308.562500	158659214.000000	8034.191513	200447696.000000	10150.278307	74
ClickiT	130418	11	1	1691.993856	2044.484375	2245	2094	151	246.500000	146358711.000000	9277.301661	157748395.000000	9999.264389	89
ClickiT	130418	12	1	3052.853411	5635.796875	4365	4170	195	234.968750	120121383.000000	7987.856297	134383861.000000	8936.285477	6
ClickiT	130418	13	1	2341.635804	5422.234375	3432	3236	196	302.296875	147280494.000000	7612.575283	270408400.000000	13976.761255	74
ClickiT	130418	14	1	2276.950080	3525.218750	3520	3321	199	294.093750	232966323.000000	12377.341568	206956129.000000	10995.437732	224
ClickiT	130418	15	1	1984.216714	2833.484375	2305	2188	117	297.656250	211069294.000000	11079.752966	261766003.000000	13740.997533	176
ClickiT	130418	16	1	1352.729608	2873.453125	2257	2158	99	238.578125	151656360.000000	9932.304670	282235616.000000	18484.223983	19
ClickiT	130418	17	1	1769.218955	4671.281250	2061	1972	89	301.718750	165182951.000000	8554.269860	164511453.000000	8519.495236	14
ClickiT	130418	18	1	1675.886465	2780.812500	2710	2524	186	265.718750	260428862.000000	15313.939904	229868811.000000	13516.924086	52
ClickiT	130418	19	1	1633.092235	2260.265625	2086	1923	163	243.562500	210324799.000000	13492.737939	346184581.000000	22208.402682	152
ClickiT	130418	20	1	1177.198435	1844.125000	1908	1772	136	183.953125	135057821.000000	11471.827147	145406104.000000	12350.811518	1
ClickiT	130418	21	1	1757.371807	2402.406250	2530	2386	144	229.921875	130867168.000000	8893.453483	230012683.000000	15631.171118	2
ClickiT	130418	22	1	2101.446976	3983.359375	3111	2920	191	349.765625	278094223.000000	12423.239803	245951876.000000	10987.352066	7
ClickiT	130418	22	2	1385.041323	2194.390625	1908	1811	97	205.375000	123045110.000000	9361.313907	100247322.000000	7626.850426	10
ClickiT	130418	23	1	1250.140948	2531.265625	1935	1795	140	289.671875	239457534.000000	12916.421274	232103467.000000	12519.740385	204
ClickiT	130418	24	1	2335.879113	2600.937500	3178	2834	344	319.125000	268788734.000000	13160.435468	288247970.000000	14113.198688	19
ClickiT	130418	25	1	1883.444107	2420.421875	2626	2449	177	254.609375	138980697.000000	8529.039399	238354873.000000	14627.485302	67
ClickiT	130418	26	1	1836.493167	3249.687500	2202	2116	86	212.640625	130785353.000000	9610.210375	85489025.000000	6281.800647	54
ClickiT	130418	27	1	1374.328342	1488.406250	2270	2114	156	160.953125	123457302.000000	11984.982235	55017048.000000	5340.942433	3
ClickiT	130418	28	1	1960.054755	2584.093750	2428	2266	162	295.468750	188699371.000000	9978.813908	153757128.000000	8130.995664	15
ClickiT	130418	29	1	1503.677675	2811.906250	2120	1967	153	273.312500	192617659.000000	11011.757318	264491545.000000	15120.714898	163
ClickiT	130418	30	1	1183.626295	2192.796875	1963	1849	114	226.703125	143267081.000000	9874.359432	179366221.000000	12362.410986	88
ClickiT	130418	31	1	1406.920181	2544.625000	2565	2417	148	238.578125	125839475.000000	8241.500753	200994876.000000	13163.591329	7
ClickiT	130418	32	1	1859.979880	3221.593750	2664	2466	198	259.046875	147951395.000000	8924.024067	262902885.000000	15857.583992	171
ClickiT	130418	33	1	2070.432253	2396.125000	2786	2638	148	290.984375	274063609.000000	14716.404929	366997304.000000	19706.669387	296
ClickiT	130418	34	1	1709.875485	3767.546875	3043	2920	123	216.281250	141567986.000000	10227.422771	136871579.000000	9888.136035	1
