cellType 	 gene 	 date 	 timePt 	 dataNum 	 objNum 	volume 	 area 	 totalGAPDH 	 cytoGAPDH 	 nucGAPDH 	nucArea 	 nucIntensityTotal 	 nucIntensityAvg 	numCyclin 	 totalRNA 	 cytoRNA 	 nucRNA 	numTxnSites 	 avgIntron 	 avgExon 	 numRnaPerTxnSiteAvgExon 
CRL2097_ActD_SerumStarved	UBC	130403	6	5	1	867.031917	2675.046875	913	853	60	184.046875	28222898.000000	2396.035147	4	101	92	9	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	UBC	130403	6	6	1	1255.718769	3908.328125	1275	1228	47	239.687500	32919776.000000	2146.008866	7	89	86	3	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	UBC	130403	6	7	1	750.300870	2592.062500	795	773	22	205.218750	33358425.000000	2539.852672	4	72	68	4	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	UBC	130403	6	8	1	756.538016	2335.421875	1044	978	66	204.609375	33304699.000000	2543.314166	2	62	59	3	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	UBC	130403	6	9	1	1114.656576	2029.640625	1338	1308	30	185.359375	32651369.000000	2752.370311	3	262	251	11	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	UBC	130403	6	10	1	1453.772909	2441.078125	1249	1185	64	245.015625	37627932.000000	2399.587526	2	217	207	10	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	UBC	130403	6	11	1	2180.390232	3443.250000	1900	1849	51	228.859375	37136008.000000	2535.400287	3	236	226	10	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	UBC	130403	6	12	1	1417.533228	3610.421875	1286	1240	46	256.828125	35158442.000000	2138.981688	3	153	143	10	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	UBC	130403	6	13	1	1024.722934	3210.406250	961	929	32	233.046875	36088527.000000	2419.612940	3	125	121	4	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	UBC	130403	6	14	1	742.956648	2310.234375	905	865	40	236.046875	32153229.000000	2128.366254	3	68	56	12	1	1842.283801	942.982015	0.413198
CRL2097_ActD_SerumStarved	UBC	130403	6	15	1	1311.309463	2770.265625	1191	1143	48	229.218750	32297559.000000	2201.605930	8	128	124	4	1	833.970399	1089.631793	0.623332
CRL2097_ActD_SerumStarved	UBC	130403	6	16	1	948.347286	1615.390625	719	679	40	217.765625	30633983.000000	2198.032790	1	71	66	5	1	945.049565	1367.380816	0.826483
CRL2097_ActD_SerumStarved	UBC	130403	6	17	1	1067.491102	2379.203125	686	658	28	212.500000	30325347.000000	2229.804926	1	104	101	3	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	UBC	130403	6	18	1	1686.755056	2707.250000	1048	1001	47	246.140625	27936108.000000	1773.383356	2	124	116	8	0	0.000000	0.000000	0.000000
