drug 	 gene 	 date 	 conc 	 dataNum 	 objNum 	numTxnSites 	 intensity 
Triptolide	UBC	141105	1nM	5	3	2	7194.000000
Triptolide	UBC	141105	1nM	5	3	2	1733.000000
Triptolide	UBC	141105	1nM	6	1	2	4139.000000
Triptolide	UBC	141105	1nM	6	1	2	2887.000000
Triptolide	UBC	141105	1nM	6	2	2	4000.000000
Triptolide	UBC	141105	1nM	6	2	2	4185.000000
Triptolide	UBC	141105	1nM	6	3	1	4435.000000
Triptolide	UBC	141105	1nM	6	4	2	6656.000000
Triptolide	UBC	141105	1nM	6	4	2	4451.000000
Triptolide	UBC	141105	1uM	1	1	0	0.000000
Triptolide	UBC	141105	1uM	1	2	0	0.000000
Triptolide	UBC	141105	1uM	1	3	0	0.000000
Triptolide	UBC	141105	1uM	1	4	0	0.000000
Triptolide	UBC	141105	1uM	2	1	0	0.000000
Triptolide	UBC	141105	1uM	2	2	0	0.000000
Triptolide	UBC	141105	1uM	2	3	0	0.000000
Triptolide	UBC	141105	1uM	2	4	0	0.000000
Triptolide	UBC	141105	1uM	2	5	0	0.000000
Triptolide	UBC	141105	1uM	3	1	0	0.000000
Triptolide	UBC	141105	1uM	3	2	0	0.000000
Triptolide	UBC	141105	1uM	3	3	1	1665.000000
Triptolide	UBC	141105	1uM	4	1	0	0.000000
Triptolide	UBC	141105	1uM	4	2	0	0.000000
Triptolide	UBC	141105	1uM	4	3	0	0.000000
Triptolide	UBC	141105	1uM	4	4	1	2447.000000
Triptolide	UBC	141105	1uM	5	1	0	0.000000
Triptolide	UBC	141105	1uM	5	2	0	0.000000
Triptolide	UBC	141105	1uM	5	3	0	0.000000
Triptolide	UBC	141105	1uM	5	4	2	836.000000
Triptolide	UBC	141105	1uM	5	4	2	1106.000000
Triptolide	UBC	141105	1uM	5	5	0	0.000000
Triptolide	UBC	141105	1uM	5	6	0	0.000000
Triptolide	UBC	141105	1uM	6	1	0	0.000000
Triptolide	UBC	141105	1uM	6	2	0	0.000000
Triptolide	UBC	141105	1uM	6	3	1	2311.000000
