cellType 	 date 	 dataNum 	 objNum 	volume 	 area 	 totalGAPDH 	 cytoGAPDH 	 nucGAPDH 	nucArea 	 dapiIntensityTotal 	 dapiIntensityAvg 	rrnaIntensityTotal 	 rrnaIntensityAvg 	itsIntensityTotal 	 itsIntensityAvg 	numCyclin 
rRNA	130516	13	1	1702.706821	2029.843750	2637	2463	174	232.640625	68807753.000000	4621.381758	863182206.000000	7504.561828	57897148.000000	11179.213748	111
rRNA	130516	15	1	1230.765271	2244.625000	2497	2296	201	240.593750	43432783.000000	2820.676906	749907928.000000	5846.870589	56236976.000000	13460.262326	84
rRNA	130516	16	1	1922.560019	2908.484375	2569	2375	194	305.343750	56033641.000000	2867.344233	1032640361.000000	6198.284290	58187505.000000	8863.290937	94
rRNA	130516	17	1	1658.312411	2169.500000	2326	2167	159	189.390625	37270704.000000	3074.886891	894154044.000000	7055.750109	45019770.000000	14560.080854	4
rRNA	130516	18	1	2622.431366	1788.984375	1936	1764	172	218.625000	37395806.000000	2672.656232	912905164.000000	9083.362327	47817306.000000	16353.387825	5
rRNA	130516	18	2	1663.451317	1763.453125	2156	1947	209	236.234375	43164263.000000	2854.968120	894698617.000000	9153.676178	50174483.000000	15343.878593	38
rRNA	130516	19	1	1689.265783	1656.906250	1999	1848	151	231.343750	47166983.000000	3185.666824	770574013.000000	8445.942534	56807587.000000	9722.332192	99
rRNA	130516	20	1	1579.888223	2546.140625	1678	1437	241	237.281250	40848034.000000	2689.848150	838125271.000000	5671.938058	29529755.000000	10144.196153	4
rRNA	130516	21	1	745.004362	1240.953125	1474	1344	130	192.375000	38465019.000000	3124.189327	230621315.000000	3436.518425	22411833.000000	6895.948615	18
rRNA	130516	21	2	1352.409842	2464.359375	1612	1466	146	275.000000	41431762.000000	2354.077386	776185101.000000	5539.470743	46367973.000000	9586.101509	1
rRNA	130516	22	1	1484.571950	1112.078125	2425	2166	259	209.843750	68105906.000000	5071.176917	736782360.000000	12759.682732	58263799.000000	13440.322722	245
rRNA	130516	23	1	2447.136438	2231.031250	2050	1873	177	263.515625	41852962.000000	2481.646131	1059560185.000000	8414.483565	59197522.000000	14689.211414	125
rRNA	130516	23	2	3232.138607	3691.484375	3891	3729	162	300.484375	41863249.000000	2176.862826	1510094056.000000	6958.189214	86221244.000000	16086.052985	8
rRNA	130516	24	1	1466.782621	1697.625000	1804	1671	133	232.203125	42307307.000000	2846.868111	775094918.000000	8264.417435	47025960.000000	15423.404395	23
rRNA	130516	25	1	4162.192353	5389.765625	5271	4920	351	323.968750	39067258.000000	1884.212308	2183658988.000000	6735.301973	82224149.000000	17119.331460	4
rRNA	130516	26	1	2037.434302	1800.953125	3664	3440	224	307.828125	86920481.000000	4411.983199	868065797.000000	9083.986992	90255527.000000	10628.300400	166
rRNA	130516	26	2	2078.340242	2198.250000	2199	2039	160	206.156250	35001301.000000	2652.819539	804723914.000000	6311.857138	46445359.000000	10546.175976	50
rRNA	130606	1	1	3398.143390	4434.578125	3226	3085	141	272.843750	21362354.000000	1223.362387	1454720470.000000	5461.667011	146579765.000000	32400.478559	6
rRNA	130606	2	1	2549.326783	3785.781250	3019	2837	182	283.078125	21933684.000000	1210.668654	1190865134.000000	5312.259434	126463571.000000	21860.600000	3
rRNA	130606	3	1	2603.484275	1676.390625	2088	1910	178	209.093750	21590925.000000	1613.430354	929757307.000000	9900.830684	96445534.000000	29485.030266	2
rRNA	130606	4	1	4971.815905	5549.343750	5672	5125	547	325.562500	22861666.000000	1097.219524	1863243800.000000	5573.201285	122463707.000000	27378.427677	15
rRNA	130606	5	1	2996.161328	2821.765625	3238	3055	183	237.781250	18747473.000000	1231.927520	1067957133.000000	6457.790676	111000713.000000	18057.705059	11
rRNA	130606	6	1	4345.527149	4353.125000	4981	4580	401	285.328125	20229634.000000	1107.805378	3310872391.000000	12717.542861	179478874.000000	6082.998610	5
rRNA	130606	7	1	3893.934575	3245.953125	5573	4859	714	371.531250	42528377.000000	1788.559887	2074991395.000000	11279.395286	180378610.000000	21690.549543	146
