gene	Nm_seq	lower_seq	upper_seq	meanCount	seCount
FCF1	0.208964970020755	0.126231059905974	0.309581266923991	50.7556312146868	3.60843260864501
FCGRT	1.50146058879657	0.831857885347849	2.53170483536041	52.7215107195552	9.78631994406184
FCHO2	0.80299523828751	0.480216201583668	1.24535203515806	48.5056076799333	6.74212935605181
FCHSD1	4.56201683234634	2.12415488870852	8.95575613927186	6.19667588300503	2.10397877746733
FCHSD2	1.10712935601103	0.687472368421545	1.68232796996845	60.0220913812013	9.83324209484551
FCRLB	4.23479294792881	1.64664020392374	9.92542248861947	20.8760713567319	7.09733374443984
FDFT1	0.276349294665133	0.155930872685285	0.424619632992585	190.742002429356	17.2240158140629
FDPS	0.184246303182449	0.101740857728742	0.297225324122408	234.935996545058	17.3783456436392
FDPSP2	3.99669802434254	1.83327335451398	7.92816842316602	12.728141965883	3.7966893558514
FDX1	0.958490234825474	0.602469055366452	1.4310096009316	38.6340484991091	5.7447307482294
FDX1L	1.04503980578052	0.635575221258822	1.58497473536686	70.626243634643	11.052597316933
FDXACB1	3.9328990281688	2.15022910946928	7.44108232812394	14.7876873597759	4.40969874767987
FDXR	9.85123141138032	3.57695368658239	26.4805598362961	8.62583112725875	4.09801205585029
FECH	0.537644105633822	0.347149652055103	0.792984646666661	78.4975463405381	11.3849097567169
FEM1A	0.671489353009548	0.380168380618766	1.07837998348383	74.2466160218484	9.46671516402308
FEM1B	1.2067773267867	0.756750725493787	1.85560658624665	49.2732428412857	8.93676328858819
FEM1C	1.19598336650334	0.643689736297264	1.87731037502515	43.6231632258387	8.06250977493397
FEN1	1.11653986120075	0.636243055355836	1.81891225964097	104.260918345861	17.3519156674002
FENDRR	2.35406168375044	1.07983448817043	4.37935897015478	37.6259555788301	9.82225424489307
FER	0.593693091529822	0.346157736222168	0.914555021758284	92.0369587105897	11.1651926187298
FER1L4	8.88645362630095	3.83219998166798	20.7047766200277	3.81281146064563	1.65760871345874
FERMT1	5.90332692479163	2.69329923335781	12.0010825064918	3.96452167577822	1.44185840163664
FERMT2	0.208132445115417	0.1299909597398	0.304230069677019	223.115574377272	15.7166985924486
FES	5.96683294836665	1.71577080266325	16.1208610761926	16.9615307360469	6.65245975896189
FEZ1	1.83600737641834	1.02474198283678	3.09920462819992	38.4324934089632	7.78383884862515
FEZ2	0.33372701815973	0.209700442062362	0.512466052715912	164.595179652077	16.2031495037463
FGD1	2.7978929167951	1.62462220662832	4.59125203482076	27.9184058470238	7.26161490901631
FGD4	3.11199868816034	1.70624402946267	5.32026380444336	17.5841153725061	4.66498783457725
FGD5-AS1	0.253754737092842	0.145695515794687	0.397102276553611	113.78778001519	9.03381784799239
FGD6	2.57030647526692	1.37398857766176	4.56560670687277	18.9617796965758	4.66621957367409
FGF1	0.70553463245072	0.419940920234875	1.09793793043517	69.8966954388178	8.89537306208826
FGF14	3.05264815339778	1.57204609008118	5.61720987736613	17.6767553239503	4.83401517324834
FGF2	0.376698008087521	0.227885993760623	0.548744693301099	163.671014727132	15.5671139578199
FGF5	0.250250539166951	0.149094154737733	0.383460188130439	213.327418882831	16.9364963014066
FGF7	0.617782188911099	0.365898654537413	1.00178751509207	167.600953800837	22.943531343735
FGFR1	0.18745282406331	0.119971964191397	0.267341811470459	155.298383363197	11.2818615497888
FGFR1OP	0.650023438617911	0.38221821494254	0.99846671875792	83.4210957914368	11.3227872068096
FGFR1OP2	0.307298803736344	0.190972409030966	0.438698725864343	122.167675195761	11.1953330352786
FGFRL1	7.24030523840273	3.24452459616137	13.3952189002555	10.522801080883	4.49035777900317
FGGY	2.27427244163788	1.30867247902226	3.85628988416298	35.1935959703349	8.16827435896694
FH	0.353267674439925	0.20372583321935	0.547675916914875	225.590598349688	22.6730487147686
FHL1	0.731563560291407	0.459279784809444	1.07693010980564	167.715049532561	22.0447218464822
FHL2	0.234148590131717	0.132021220123913	0.364608451053959	292.867272697125	23.8377468932649
FHL3	1.59824461321349	0.926466005640314	2.58333591080565	46.4618907546129	8.8539815658701
FHOD1	1.91053554402617	1.17098251314649	2.92962944789115	41.9844220315702	8.8909898318484
FHOD3	3.24195857209098	1.84346974658329	5.44314752819359	23.3406543606746	6.32477408475103
FIBCD1	4.14752297559557	2.07966465703323	7.83230647968699	9.5256986405623	2.92629430220164
FIBIN	9.84897356831964	3.88749780821508	23.120519343866	8.38199849874189	3.85998525193557
FIBP	0.133987174240886	0.0701283755367778	0.207656531016338	300.553090161523	20.0874794570525
FICD	3.12946302560577	1.67047209279674	5.53875080913726	26.8685669278557	7.16077652616273
FIG4	1.51812232073193	0.894039365724132	2.52772874722545	52.837420059534	9.86256457025607
FIGN	5.43439661898701	1.96734080232601	11.2689195471603	6.14657028560569	2.32514970986559
FIGNL1	3.30213844243963	1.88225282718129	5.80454845404148	35.2100394163327	9.94224152724067
FILIP1L	0.592235987864512	0.31060994764086	0.976723732940312	93.1686391616659	12.5912580534403
FIP1L1	0.361456423023007	0.212479029267576	0.567351535414046	131.371220299441	13.2787626833611
FIS1	0.205910078596315	0.113492716647882	0.315072096143423	310.872837518741	22.5463905931078
FITM2	11.1923292782637	4.05479097404112	42.2014053264995	3.97124846588997	1.84132772549044
FIZ1	8.95774009613308	3.94476015491114	19.6681196696223	7.7687637280227	3.54286261423404
FJX1	2.66354746707045	0.889261590665732	4.59744928597898	12.2692905104584	3.25602796411128
FKBP10	0.446208652465127	0.293967660828408	0.610093572387649	72.892911480081	7.66989111676286
FKBP11	0.152667277267602	0.0832382698099506	0.248561486470824	183.800561294451	11.5484236686287
FKBP14	0.371581049741199	0.191189119414838	0.608889771260202	103.056369316705	10.2397918177339
FKBP15	0.816753722076546	0.461072483822344	1.26656391267845	69.8625675872097	9.71590376195277
FKBP1A	0.0641478067049577	0.0330637100303313	0.105379309021148	397.040738867228	19.6749922374495
FKBP1AP1	1.11841586291577	0.737960541761736	1.58547211213673	36.1371842823155	5.87574870550717
FKBP1B	2.67021495983586	1.45687091341317	4.67229389047163	36.9072486200516	9.0108739083969
FKBP2	0.14656562096691	0.0965465523598708	0.202812864997853	213.887434659188	13.5779951371966
FKBP3	0.0882473220960036	0.0584645686906685	0.122070693439793	330.18673691297	16.2763590087048
FKBP4	1.10032665740807	0.625323037140202	1.747939534283	35.7957815817373	5.9902209025103
FKBP5	2.08777898313577	1.0094875859058	3.77944455689926	20.816661340434	5.40018796749894
FKBP7	0.481613840542127	0.283686938424595	0.757942695993847	81.8566544756018	9.34935363108145
FKBP8	0.709508719760245	0.380700696285218	1.16489560440405	20.7707568515157	2.92040261636744
FKBP9	0.123026091645464	0.0676968147081549	0.185742541492363	187.631153241866	10.5347704516779
FKBP9P1	1.16392446607716	0.539408091556384	1.97830060416258	9.86729685776287	1.74679155462772
FKBPL	5.48840214687204	2.57828065391271	10.9770501601815	11.3936326053296	3.95598816718083
FKRP	2.16426336197899	1.27677301530373	3.65821360711994	31.606536364575	7.03687719079398
FKTN	0.915495331203206	0.546710232352231	1.37363674281867	37.1106206258445	5.48434170585814
FLAD1	1.31546944841749	0.806932025632507	2.09552933797496	50.6644566667624	8.7658776985804
FLCN	0.54213682715373	0.268882001339399	0.885996922523387	25.0764948089252	3.10977563057853
FLI1	2.29891181030668	1.23324797662208	4.04818935243863	28.9559686301629	6.74528728975102
FLII	0.234584244528828	0.137861781534449	0.355242734977933	133.500088688776	11.9093003323868
FLJ10038	2.31437034575938	1.23549697079695	4.02700025601204	13.3891810247081	3.09703339799403
FLJ20021	3.27474599746878	1.71642189255873	6.54963191235403	40.5111198303538	10.7807591735931
FLJ30403	6.46999092209217	2.63883893499832	13.8422724027287	5.38496448375777	2.21464763196388
FLJ31306	0.464651197009998	0.305184479463792	0.649889602502707	122.572742214542	13.1167382495428
FLJ32255	4.10705552713012	1.32316506158041	7.28899349088669	17.6438264869431	5.88298846669968
FLJ37453	5.80651817603678	2.93011483819136	12.4798132403937	6.64623535015602	2.35642158440758
FLJ42627	1.62718709176735	0.931485891623527	2.5877200163403	7.22591245105448	1.41484265322108
FLJ43879	7.34032949894281	3.2505590914864	15.3140186193768	2.70101893265219	1.12190607914331
